idx,sentence,prefix,construction,default_nan,order_swap,no_article,no_modifier,no_numeral
12798,It lasted an ugly three paragraphs.,It lasted,a three ugly paragraphs,three ugly paragraphs,an ugly three paragraphs,three ugly paragraphs,a three paragraphs,an ugly paragraphs
12799,It lasted an ugly three awards.,It lasted,a three ugly awards,three ugly awards,an ugly three awards,three ugly awards,a three awards,an ugly awards
12800,It lasted an ugly three meals.,It lasted,a three ugly meals,three ugly meals,an ugly three meals,three ugly meals,a three meals,an ugly meals
12801,It lasted an ugly five pages.,It lasted,a five ugly pages,five ugly pages,an ugly five pages,five ugly pages,a five pages,an ugly pages
12802,It lasted an ugly five acts.,It lasted,a five ugly acts,five ugly acts,an ugly five acts,five ugly acts,a five acts,an ugly acts
12803,It lasted an ugly five paragraphs.,It lasted,a five ugly paragraphs,five ugly paragraphs,an ugly five paragraphs,five ugly paragraphs,a five paragraphs,an ugly paragraphs
12804,It lasted an ugly five awards.,It lasted,a five ugly awards,five ugly awards,an ugly five awards,five ugly awards,a five awards,an ugly awards
12805,It lasted an ugly five meals.,It lasted,a five ugly meals,five ugly meals,an ugly five meals,five ugly meals,a five meals,an ugly meals
12806,It lasted an ugly twenty pages.,It lasted,a twenty ugly pages,twenty ugly pages,an ugly twenty pages,twenty ugly pages,a twenty pages,an ugly pages
12807,It lasted an ugly twenty acts.,It lasted,a twenty ugly acts,twenty ugly acts,an ugly twenty acts,twenty ugly acts,a twenty acts,an ugly acts
12808,It lasted an ugly twenty paragraphs.,It lasted,a twenty ugly paragraphs,twenty ugly paragraphs,an ugly twenty paragraphs,twenty ugly paragraphs,a twenty paragraphs,an ugly paragraphs
12809,It lasted an ugly twenty awards.,It lasted,a twenty ugly awards,twenty ugly awards,an ugly twenty awards,twenty ugly awards,a twenty awards,an ugly awards
12810,It lasted an ugly twenty meals.,It lasted,a twenty ugly meals,twenty ugly meals,an ugly twenty meals,twenty ugly meals,a twenty meals,an ugly meals
12811,It lasted a mere three pages.,It lasted,a three mere pages,three mere pages,a mere three pages,three mere pages,a three pages,a mere pages
12812,It lasted a mere three acts.,It lasted,a three mere acts,three mere acts,a mere three acts,three mere acts,a three acts,a mere acts
12813,It lasted a mere three paragraphs.,It lasted,a three mere paragraphs,three mere paragraphs,a mere three paragraphs,three mere paragraphs,a three paragraphs,a mere paragraphs
12814,It lasted a mere three awards.,It lasted,a three mere awards,three mere awards,a mere three awards,three mere awards,a three awards,a mere awards
12815,It lasted a mere three meals.,It lasted,a three mere meals,three mere meals,a mere three meals,three mere meals,a three meals,a mere meals
12816,It lasted a mere five pages.,It lasted,a five mere pages,five mere pages,a mere five pages,five mere pages,a five pages,a mere pages
12817,It lasted a mere five acts.,It lasted,a five mere acts,five mere acts,a mere five acts,five mere acts,a five acts,a mere acts
12818,It lasted a mere five paragraphs.,It lasted,a five mere paragraphs,five mere paragraphs,a mere five paragraphs,five mere paragraphs,a five paragraphs,a mere paragraphs
12819,It lasted a mere five awards.,It lasted,a five mere awards,five mere awards,a mere five awards,five mere awards,a five awards,a mere awards
12820,It lasted a mere five meals.,It lasted,a five mere meals,five mere meals,a mere five meals,five mere meals,a five meals,a mere meals
12821,It lasted a mere twenty pages.,It lasted,a twenty mere pages,twenty mere pages,a mere twenty pages,twenty mere pages,a twenty pages,a mere pages
12822,It lasted a mere twenty acts.,It lasted,a twenty mere acts,twenty mere acts,a mere twenty acts,twenty mere acts,a twenty acts,a mere acts
12823,It lasted a mere twenty paragraphs.,It lasted,a twenty mere paragraphs,twenty mere paragraphs,a mere twenty paragraphs,twenty mere paragraphs,a twenty paragraphs,a mere paragraphs
12824,It lasted a mere twenty awards.,It lasted,a twenty mere awards,twenty mere awards,a mere twenty awards,twenty mere awards,a twenty awards,a mere awards
12825,It lasted a mere twenty meals.,It lasted,a twenty mere meals,twenty mere meals,a mere twenty meals,twenty mere meals,a twenty meals,a mere meals
12826,It lasted a staggering three pages.,It lasted,a three staggering pages,three staggering pages,a staggering three pages,three staggering pages,a three pages,a staggering pages
12827,It lasted a staggering three acts.,It lasted,a three staggering acts,three staggering acts,a staggering three acts,three staggering acts,a three acts,a staggering acts
12828,It lasted a staggering three paragraphs.,It lasted,a three staggering paragraphs,three staggering paragraphs,a staggering three paragraphs,three staggering paragraphs,a three paragraphs,a staggering paragraphs
12829,It lasted a staggering three awards.,It lasted,a three staggering awards,three staggering awards,a staggering three awards,three staggering awards,a three awards,a staggering awards
12830,It lasted a staggering three meals.,It lasted,a three staggering meals,three staggering meals,a staggering three meals,three staggering meals,a three meals,a staggering meals
12831,It lasted a staggering five pages.,It lasted,a five staggering pages,five staggering pages,a staggering five pages,five staggering pages,a five pages,a staggering pages
12832,It lasted a staggering five acts.,It lasted,a five staggering acts,five staggering acts,a staggering five acts,five staggering acts,a five acts,a staggering acts
12833,It lasted a staggering five paragraphs.,It lasted,a five staggering paragraphs,five staggering paragraphs,a staggering five paragraphs,five staggering paragraphs,a five paragraphs,a staggering paragraphs
12834,It lasted a staggering five awards.,It lasted,a five staggering awards,five staggering awards,a staggering five awards,five staggering awards,a five awards,a staggering awards
12835,It lasted a staggering five meals.,It lasted,a five staggering meals,five staggering meals,a staggering five meals,five staggering meals,a five meals,a staggering meals
12836,It lasted a staggering twenty pages.,It lasted,a twenty staggering pages,twenty staggering pages,a staggering twenty pages,twenty staggering pages,a twenty pages,a staggering pages
12837,It lasted a staggering twenty acts.,It lasted,a twenty staggering acts,twenty staggering acts,a staggering twenty acts,twenty staggering acts,a twenty acts,a staggering acts
12838,It lasted a staggering twenty paragraphs.,It lasted,a twenty staggering paragraphs,twenty staggering paragraphs,a staggering twenty paragraphs,twenty staggering paragraphs,a twenty paragraphs,a staggering paragraphs
12839,It lasted a staggering twenty awards.,It lasted,a twenty staggering awards,twenty staggering awards,a staggering twenty awards,twenty staggering awards,a twenty awards,a staggering awards
12840,It lasted a staggering twenty meals.,It lasted,a twenty staggering meals,twenty staggering meals,a staggering twenty meals,twenty staggering meals,a twenty meals,a staggering meals
12841,It lasted a whopping three pages.,It lasted,a three whopping pages,three whopping pages,a whopping three pages,three whopping pages,a three pages,a whopping pages
12842,It lasted a whopping three acts.,It lasted,a three whopping acts,three whopping acts,a whopping three acts,three whopping acts,a three acts,a whopping acts
12843,It lasted a whopping three paragraphs.,It lasted,a three whopping paragraphs,three whopping paragraphs,a whopping three paragraphs,three whopping paragraphs,a three paragraphs,a whopping paragraphs
12844,It lasted a whopping three awards.,It lasted,a three whopping awards,three whopping awards,a whopping three awards,three whopping awards,a three awards,a whopping awards
12845,It lasted a whopping three meals.,It lasted,a three whopping meals,three whopping meals,a whopping three meals,three whopping meals,a three meals,a whopping meals
12846,It lasted a whopping five pages.,It lasted,a five whopping pages,five whopping pages,a whopping five pages,five whopping pages,a five pages,a whopping pages
12847,It lasted a whopping five acts.,It lasted,a five whopping acts,five whopping acts,a whopping five acts,five whopping acts,a five acts,a whopping acts
12848,It lasted a whopping five paragraphs.,It lasted,a five whopping paragraphs,five whopping paragraphs,a whopping five paragraphs,five whopping paragraphs,a five paragraphs,a whopping paragraphs
12849,It lasted a whopping five awards.,It lasted,a five whopping awards,five whopping awards,a whopping five awards,five whopping awards,a five awards,a whopping awards
12850,It lasted a whopping five meals.,It lasted,a five whopping meals,five whopping meals,a whopping five meals,five whopping meals,a five meals,a whopping meals
12851,It lasted a whopping twenty pages.,It lasted,a twenty whopping pages,twenty whopping pages,a whopping twenty pages,twenty whopping pages,a twenty pages,a whopping pages
12852,It lasted a whopping twenty acts.,It lasted,a twenty whopping acts,twenty whopping acts,a whopping twenty acts,twenty whopping acts,a twenty acts,a whopping acts
12853,It lasted a whopping twenty paragraphs.,It lasted,a twenty whopping paragraphs,twenty whopping paragraphs,a whopping twenty paragraphs,twenty whopping paragraphs,a twenty paragraphs,a whopping paragraphs
12854,It lasted a whopping twenty awards.,It lasted,a twenty whopping awards,twenty whopping awards,a whopping twenty awards,twenty whopping awards,a twenty awards,a whopping awards
12855,It lasted a whopping twenty meals.,It lasted,a twenty whopping meals,twenty whopping meals,a whopping twenty meals,twenty whopping meals,a twenty meals,a whopping meals
12856,It lasted a hefty three pages.,It lasted,a three hefty pages,three hefty pages,a hefty three pages,three hefty pages,a three pages,a hefty pages
12857,It lasted a hefty three acts.,It lasted,a three hefty acts,three hefty acts,a hefty three acts,three hefty acts,a three acts,a hefty acts
12858,It lasted a hefty three paragraphs.,It lasted,a three hefty paragraphs,three hefty paragraphs,a hefty three paragraphs,three hefty paragraphs,a three paragraphs,a hefty paragraphs
12859,It lasted a hefty three awards.,It lasted,a three hefty awards,three hefty awards,a hefty three awards,three hefty awards,a three awards,a hefty awards
12860,It lasted a hefty three meals.,It lasted,a three hefty meals,three hefty meals,a hefty three meals,three hefty meals,a three meals,a hefty meals
12861,It lasted a hefty five pages.,It lasted,a five hefty pages,five hefty pages,a hefty five pages,five hefty pages,a five pages,a hefty pages
12862,It lasted a hefty five acts.,It lasted,a five hefty acts,five hefty acts,a hefty five acts,five hefty acts,a five acts,a hefty acts
12863,It lasted a hefty five paragraphs.,It lasted,a five hefty paragraphs,five hefty paragraphs,a hefty five paragraphs,five hefty paragraphs,a five paragraphs,a hefty paragraphs
12864,It lasted a hefty five awards.,It lasted,a five hefty awards,five hefty awards,a hefty five awards,five hefty awards,a five awards,a hefty awards
12865,It lasted a hefty five meals.,It lasted,a five hefty meals,five hefty meals,a hefty five meals,five hefty meals,a five meals,a hefty meals
12866,It lasted a hefty twenty pages.,It lasted,a twenty hefty pages,twenty hefty pages,a hefty twenty pages,twenty hefty pages,a twenty pages,a hefty pages
