,idx,sentence,prefixes,aann,default_nan,order_swap,no_article,no_modifier,no_numeral
11728,11729,Luis took in a remarkable twenty awards.,Luis took in,a remarkable twenty awards,twenty remarkable awards,a remarkable twenty awards,twenty remarkable awards,a twenty awards,a remarkable awards
11729,11730,Luis took in a remarkable twenty meals.,Luis took in,a remarkable twenty meals,twenty remarkable meals,a remarkable twenty meals,twenty remarkable meals,a twenty meals,a remarkable meals
11730,11731,Luis took in a mediocre three pages.,Luis took in,a mediocre three pages,three mediocre pages,a mediocre three pages,three mediocre pages,a three pages,a mediocre pages
11731,11732,Luis took in a mediocre three acts.,Luis took in,a mediocre three acts,three mediocre acts,a mediocre three acts,three mediocre acts,a three acts,a mediocre acts
11732,11733,Luis took in a mediocre three paragraphs.,Luis took in,a mediocre three paragraphs,three mediocre paragraphs,a mediocre three paragraphs,three mediocre paragraphs,a three paragraphs,a mediocre paragraphs
11733,11734,Luis took in a mediocre three awards.,Luis took in,a mediocre three awards,three mediocre awards,a mediocre three awards,three mediocre awards,a three awards,a mediocre awards
11734,11735,Luis took in a mediocre three meals.,Luis took in,a mediocre three meals,three mediocre meals,a mediocre three meals,three mediocre meals,a three meals,a mediocre meals
11735,11736,Luis took in a mediocre five pages.,Luis took in,a mediocre five pages,five mediocre pages,a mediocre five pages,five mediocre pages,a five pages,a mediocre pages
11736,11737,Luis took in a mediocre five acts.,Luis took in,a mediocre five acts,five mediocre acts,a mediocre five acts,five mediocre acts,a five acts,a mediocre acts
11737,11738,Luis took in a mediocre five paragraphs.,Luis took in,a mediocre five paragraphs,five mediocre paragraphs,a mediocre five paragraphs,five mediocre paragraphs,a five paragraphs,a mediocre paragraphs
11738,11739,Luis took in a mediocre five awards.,Luis took in,a mediocre five awards,five mediocre awards,a mediocre five awards,five mediocre awards,a five awards,a mediocre awards
11739,11740,Luis took in a mediocre five meals.,Luis took in,a mediocre five meals,five mediocre meals,a mediocre five meals,five mediocre meals,a five meals,a mediocre meals
11740,11741,Luis took in a mediocre twenty pages.,Luis took in,a mediocre twenty pages,twenty mediocre pages,a mediocre twenty pages,twenty mediocre pages,a twenty pages,a mediocre pages
11741,11742,Luis took in a mediocre twenty acts.,Luis took in,a mediocre twenty acts,twenty mediocre acts,a mediocre twenty acts,twenty mediocre acts,a twenty acts,a mediocre acts
11742,11743,Luis took in a mediocre twenty paragraphs.,Luis took in,a mediocre twenty paragraphs,twenty mediocre paragraphs,a mediocre twenty paragraphs,twenty mediocre paragraphs,a twenty paragraphs,a mediocre paragraphs
11743,11744,Luis took in a mediocre twenty awards.,Luis took in,a mediocre twenty awards,twenty mediocre awards,a mediocre twenty awards,twenty mediocre awards,a twenty awards,a mediocre awards
11744,11745,Luis took in a mediocre twenty meals.,Luis took in,a mediocre twenty meals,twenty mediocre meals,a mediocre twenty meals,twenty mediocre meals,a twenty meals,a mediocre meals
11745,11746,Luis took in an unsatisfying three pages.,Luis took in,an unsatisfying three pages,three unsatisfying pages,an unsatisfying three pages,three unsatisfying pages,a three pages,an unsatisfying pages
11746,11747,Luis took in an unsatisfying three acts.,Luis took in,an unsatisfying three acts,three unsatisfying acts,an unsatisfying three acts,three unsatisfying acts,a three acts,an unsatisfying acts
11747,11748,Luis took in an unsatisfying three paragraphs.,Luis took in,an unsatisfying three paragraphs,three unsatisfying paragraphs,an unsatisfying three paragraphs,three unsatisfying paragraphs,a three paragraphs,an unsatisfying paragraphs
11748,11749,Luis took in an unsatisfying three awards.,Luis took in,an unsatisfying three awards,three unsatisfying awards,an unsatisfying three awards,three unsatisfying awards,a three awards,an unsatisfying awards
11749,11750,Luis took in an unsatisfying three meals.,Luis took in,an unsatisfying three meals,three unsatisfying meals,an unsatisfying three meals,three unsatisfying meals,a three meals,an unsatisfying meals
11750,11751,Luis took in an unsatisfying five pages.,Luis took in,an unsatisfying five pages,five unsatisfying pages,an unsatisfying five pages,five unsatisfying pages,a five pages,an unsatisfying pages
11751,11752,Luis took in an unsatisfying five acts.,Luis took in,an unsatisfying five acts,five unsatisfying acts,an unsatisfying five acts,five unsatisfying acts,a five acts,an unsatisfying acts
11752,11753,Luis took in an unsatisfying five paragraphs.,Luis took in,an unsatisfying five paragraphs,five unsatisfying paragraphs,an unsatisfying five paragraphs,five unsatisfying paragraphs,a five paragraphs,an unsatisfying paragraphs
11753,11754,Luis took in an unsatisfying five awards.,Luis took in,an unsatisfying five awards,five unsatisfying awards,an unsatisfying five awards,five unsatisfying awards,a five awards,an unsatisfying awards
11754,11755,Luis took in an unsatisfying five meals.,Luis took in,an unsatisfying five meals,five unsatisfying meals,an unsatisfying five meals,five unsatisfying meals,a five meals,an unsatisfying meals
11755,11756,Luis took in an unsatisfying twenty pages.,Luis took in,an unsatisfying twenty pages,twenty unsatisfying pages,an unsatisfying twenty pages,twenty unsatisfying pages,a twenty pages,an unsatisfying pages
11756,11757,Luis took in an unsatisfying twenty acts.,Luis took in,an unsatisfying twenty acts,twenty unsatisfying acts,an unsatisfying twenty acts,twenty unsatisfying acts,a twenty acts,an unsatisfying acts
11757,11758,Luis took in an unsatisfying twenty paragraphs.,Luis took in,an unsatisfying twenty paragraphs,twenty unsatisfying paragraphs,an unsatisfying twenty paragraphs,twenty unsatisfying paragraphs,a twenty paragraphs,an unsatisfying paragraphs
11758,11759,Luis took in an unsatisfying twenty awards.,Luis took in,an unsatisfying twenty awards,twenty unsatisfying awards,an unsatisfying twenty awards,twenty unsatisfying awards,a twenty awards,an unsatisfying awards
11759,11760,Luis took in an unsatisfying twenty meals.,Luis took in,an unsatisfying twenty meals,twenty unsatisfying meals,an unsatisfying twenty meals,twenty unsatisfying meals,a twenty meals,an unsatisfying meals
11760,11761,Luis took in a lovely three pages.,Luis took in,a lovely three pages,three lovely pages,a lovely three pages,three lovely pages,a three pages,a lovely pages
11761,11762,Luis took in a lovely three acts.,Luis took in,a lovely three acts,three lovely acts,a lovely three acts,three lovely acts,a three acts,a lovely acts
11762,11763,Luis took in a lovely three paragraphs.,Luis took in,a lovely three paragraphs,three lovely paragraphs,a lovely three paragraphs,three lovely paragraphs,a three paragraphs,a lovely paragraphs
11763,11764,Luis took in a lovely three awards.,Luis took in,a lovely three awards,three lovely awards,a lovely three awards,three lovely awards,a three awards,a lovely awards
11764,11765,Luis took in a lovely three meals.,Luis took in,a lovely three meals,three lovely meals,a lovely three meals,three lovely meals,a three meals,a lovely meals
11765,11766,Luis took in a lovely five pages.,Luis took in,a lovely five pages,five lovely pages,a lovely five pages,five lovely pages,a five pages,a lovely pages
11766,11767,Luis took in a lovely five acts.,Luis took in,a lovely five acts,five lovely acts,a lovely five acts,five lovely acts,a five acts,a lovely acts
11767,11768,Luis took in a lovely five paragraphs.,Luis took in,a lovely five paragraphs,five lovely paragraphs,a lovely five paragraphs,five lovely paragraphs,a five paragraphs,a lovely paragraphs
11768,11769,Luis took in a lovely five awards.,Luis took in,a lovely five awards,five lovely awards,a lovely five awards,five lovely awards,a five awards,a lovely awards
11769,11770,Luis took in a lovely five meals.,Luis took in,a lovely five meals,five lovely meals,a lovely five meals,five lovely meals,a five meals,a lovely meals
11770,11771,Luis took in a lovely twenty pages.,Luis took in,a lovely twenty pages,twenty lovely pages,a lovely twenty pages,twenty lovely pages,a twenty pages,a lovely pages
11771,11772,Luis took in a lovely twenty acts.,Luis took in,a lovely twenty acts,twenty lovely acts,a lovely twenty acts,twenty lovely acts,a twenty acts,a lovely acts
11772,11773,Luis took in a lovely twenty paragraphs.,Luis took in,a lovely twenty paragraphs,twenty lovely paragraphs,a lovely twenty paragraphs,twenty lovely paragraphs,a twenty paragraphs,a lovely paragraphs
