idx,sentence,prefixes,construction,default_nan,order_swap,no_article,no_modifier,no_numeral
12156,They consumed a pathetic five pages.,They consumed,a pathetic five pages,five pathetic pages,a five pathetic pages,pathetic five pages,a five pages,a pathetic pages
12157,They consumed a pathetic five acts.,They consumed,a pathetic five acts,five pathetic acts,a five pathetic acts,pathetic five acts,a five acts,a pathetic acts
12158,They consumed a pathetic five paragraphs.,They consumed,a pathetic five paragraphs,five pathetic paragraphs,a five pathetic paragraphs,pathetic five paragraphs,a five paragraphs,a pathetic paragraphs
12159,They consumed a pathetic five awards.,They consumed,a pathetic five awards,five pathetic awards,a five pathetic awards,pathetic five awards,a five awards,a pathetic awards
12160,They consumed a pathetic five meals.,They consumed,a pathetic five meals,five pathetic meals,a five pathetic meals,pathetic five meals,a five meals,a pathetic meals
12161,They consumed a pathetic twenty pages.,They consumed,a pathetic twenty pages,twenty pathetic pages,a twenty pathetic pages,pathetic twenty pages,a twenty pages,a pathetic pages
12162,They consumed a pathetic twenty acts.,They consumed,a pathetic twenty acts,twenty pathetic acts,a twenty pathetic acts,pathetic twenty acts,a twenty acts,a pathetic acts
12163,They consumed a pathetic twenty paragraphs.,They consumed,a pathetic twenty paragraphs,twenty pathetic paragraphs,a twenty pathetic paragraphs,pathetic twenty paragraphs,a twenty paragraphs,a pathetic paragraphs
12164,They consumed a pathetic twenty awards.,They consumed,a pathetic twenty awards,twenty pathetic awards,a twenty pathetic awards,pathetic twenty awards,a twenty awards,a pathetic awards
12165,They consumed a pathetic twenty meals.,They consumed,a pathetic twenty meals,twenty pathetic meals,a twenty pathetic meals,pathetic twenty meals,a twenty meals,a pathetic meals
12166,They consumed a remarkable three pages.,They consumed,a remarkable three pages,three remarkable pages,a three remarkable pages,remarkable three pages,a three pages,a remarkable pages
12167,They consumed a remarkable three acts.,They consumed,a remarkable three acts,three remarkable acts,a three remarkable acts,remarkable three acts,a three acts,a remarkable acts
12168,They consumed a remarkable three paragraphs.,They consumed,a remarkable three paragraphs,three remarkable paragraphs,a three remarkable paragraphs,remarkable three paragraphs,a three paragraphs,a remarkable paragraphs
12169,They consumed a remarkable three awards.,They consumed,a remarkable three awards,three remarkable awards,a three remarkable awards,remarkable three awards,a three awards,a remarkable awards
12170,They consumed a remarkable three meals.,They consumed,a remarkable three meals,three remarkable meals,a three remarkable meals,remarkable three meals,a three meals,a remarkable meals
12171,They consumed a remarkable five pages.,They consumed,a remarkable five pages,five remarkable pages,a five remarkable pages,remarkable five pages,a five pages,a remarkable pages
12172,They consumed a remarkable five acts.,They consumed,a remarkable five acts,five remarkable acts,a five remarkable acts,remarkable five acts,a five acts,a remarkable acts
12173,They consumed a remarkable five paragraphs.,They consumed,a remarkable five paragraphs,five remarkable paragraphs,a five remarkable paragraphs,remarkable five paragraphs,a five paragraphs,a remarkable paragraphs
12174,They consumed a remarkable five awards.,They consumed,a remarkable five awards,five remarkable awards,a five remarkable awards,remarkable five awards,a five awards,a remarkable awards
12175,They consumed a remarkable five meals.,They consumed,a remarkable five meals,five remarkable meals,a five remarkable meals,remarkable five meals,a five meals,a remarkable meals
12176,They consumed a remarkable twenty pages.,They consumed,a remarkable twenty pages,twenty remarkable pages,a twenty remarkable pages,remarkable twenty pages,a twenty pages,a remarkable pages
12177,They consumed a remarkable twenty acts.,They consumed,a remarkable twenty acts,twenty remarkable acts,a twenty remarkable acts,remarkable twenty acts,a twenty acts,a remarkable acts
12178,They consumed a remarkable twenty paragraphs.,They consumed,a remarkable twenty paragraphs,twenty remarkable paragraphs,a twenty remarkable paragraphs,remarkable twenty paragraphs,a twenty paragraphs,a remarkable paragraphs
12179,They consumed a remarkable twenty awards.,They consumed,a remarkable twenty awards,twenty remarkable awards,a twenty remarkable awards,remarkable twenty awards,a twenty awards,a remarkable awards
12180,They consumed a remarkable twenty meals.,They consumed,a remarkable twenty meals,twenty remarkable meals,a twenty remarkable meals,remarkable twenty meals,a twenty meals,a remarkable meals
12181,They consumed a mediocre three pages.,They consumed,a mediocre three pages,three mediocre pages,a three mediocre pages,mediocre three pages,a three pages,a mediocre pages
12182,They consumed a mediocre three acts.,They consumed,a mediocre three acts,three mediocre acts,a three mediocre acts,mediocre three acts,a three acts,a mediocre acts
12183,They consumed a mediocre three paragraphs.,They consumed,a mediocre three paragraphs,three mediocre paragraphs,a three mediocre paragraphs,mediocre three paragraphs,a three paragraphs,a mediocre paragraphs
12184,They consumed a mediocre three awards.,They consumed,a mediocre three awards,three mediocre awards,a three mediocre awards,mediocre three awards,a three awards,a mediocre awards
12185,They consumed a mediocre three meals.,They consumed,a mediocre three meals,three mediocre meals,a three mediocre meals,mediocre three meals,a three meals,a mediocre meals
12186,They consumed a mediocre five pages.,They consumed,a mediocre five pages,five mediocre pages,a five mediocre pages,mediocre five pages,a five pages,a mediocre pages
12187,They consumed a mediocre five acts.,They consumed,a mediocre five acts,five mediocre acts,a five mediocre acts,mediocre five acts,a five acts,a mediocre acts
12188,They consumed a mediocre five paragraphs.,They consumed,a mediocre five paragraphs,five mediocre paragraphs,a five mediocre paragraphs,mediocre five paragraphs,a five paragraphs,a mediocre paragraphs
12189,They consumed a mediocre five awards.,They consumed,a mediocre five awards,five mediocre awards,a five mediocre awards,mediocre five awards,a five awards,a mediocre awards
12190,They consumed a mediocre five meals.,They consumed,a mediocre five meals,five mediocre meals,a five mediocre meals,mediocre five meals,a five meals,a mediocre meals
12191,They consumed a mediocre twenty pages.,They consumed,a mediocre twenty pages,twenty mediocre pages,a twenty mediocre pages,mediocre twenty pages,a twenty pages,a mediocre pages
12192,They consumed a mediocre twenty acts.,They consumed,a mediocre twenty acts,twenty mediocre acts,a twenty mediocre acts,mediocre twenty acts,a twenty acts,a mediocre acts
12193,They consumed a mediocre twenty paragraphs.,They consumed,a mediocre twenty paragraphs,twenty mediocre paragraphs,a twenty mediocre paragraphs,mediocre twenty paragraphs,a twenty paragraphs,a mediocre paragraphs
12194,They consumed a mediocre twenty awards.,They consumed,a mediocre twenty awards,twenty mediocre awards,a twenty mediocre awards,mediocre twenty awards,a twenty awards,a mediocre awards
12195,They consumed a mediocre twenty meals.,They consumed,a mediocre twenty meals,twenty mediocre meals,a twenty mediocre meals,mediocre twenty meals,a twenty meals,a mediocre meals
12196,They consumed an unsatisfying three pages.,They consumed,an unsatisfying three pages,three unsatisfying pages,a three unsatisfying pages,unsatisfying three pages,a three pages,an unsatisfying pages
12197,They consumed an unsatisfying three acts.,They consumed,an unsatisfying three acts,three unsatisfying acts,a three unsatisfying acts,unsatisfying three acts,a three acts,an unsatisfying acts
12198,They consumed an unsatisfying three paragraphs.,They consumed,an unsatisfying three paragraphs,three unsatisfying paragraphs,a three unsatisfying paragraphs,unsatisfying three paragraphs,a three paragraphs,an unsatisfying paragraphs
12199,They consumed an unsatisfying three awards.,They consumed,an unsatisfying three awards,three unsatisfying awards,a three unsatisfying awards,unsatisfying three awards,a three awards,an unsatisfying awards
