idx,construction,corrupted_construction,corrupted_sentence
17028,an extra twenty pounds,an twenty extra pounds,"Soon enough I was out of one of your finest health - and - wellness facilities with an twenty extra pounds around my waist and ready to join a performing arts academy on this side , for , you see , actors have no real allegiances except to their muse , and you should know that our sides share many of the same old scripts and playwrights ."
17029,a few hundred paces,a hundred few paces,"Outside , a hundred few paces off , we saw the shed aflame in the field , surrounded by half - dressed men shouting inefficaciously at each other because the water from the pump had run dry ."
17030,a good ten years,a ten good years,"It was Myrmia , but a Myrmia who looked a ten good years older than when I had last seen her ."
17031,an additional fifteen minutes,an fifteen additional minutes,"On March 19 the Lord spent two hours with me , from 7 a - m to 9 a - m I shook for half an hour and then groaned in the Spirit for an fifteen additional minutes that morning ."
17032,a good five minutes,a five good minutes,"Brett Hull then went on to talk for a five good minutes about all the stuff that Stanley had written in his letters : fishing in the beautiful Washington lakes , swimming in the Pacific , his job as a night auditor at a local motel , his favorite Italian restaurant on the corner , and lots more ."
17033,a good five minutes,a five good minutes,"Oh , no , it went off for a five good minutes ."
17034,a good three minutes,a three good minutes,I managed to drag the argument out a three good minutes before she was fully awake and fully ticked off .
17035,a good fifteen feet,a fifteen good feet,He was a fifteen good feet away from the back porch before the men even knew what had happened .
17036,a few hundred meters,a hundred few meters,"I 'm still a hundred few meters high , and I do n't know where to land , or even how to land ."
17037,a further six days,a six further days,"It would take a six further days for the entire army to reach the fortified walls , so his only option was to send a small army of wielders on altherin horses , with a substantial guard to protect them , while a rescue team of Aldebrands and Alit'aren try to infiltrate the keep ."
17038,a few hundred yards,a hundred few yards,"They saw the first fire - engine a hundred few yards away , turning down towards the harbour ; a second followed it soon afterwards ."
17039,a few hundred yards,a hundred few yards,"Also scouts out a hundred few yards including the ridge . """
17040,"a mere 340,000 years","a 340,000 mere years","They were the youngest of the enlightened ones , having reached the pinnacle of evolution a 340,000 mere years ago ."
17041,a few thousand years,a thousand few years,""" Thank goodness we did n't live a thousand few years ago or right now we 'd be somewhere in Israel hiding behind Moses ' bushes . """
17042,a good twenty minutes,a twenty good minutes,They had been travelling along the streets for a twenty good minutes when Sacul finally turned his gaze back towards Nakie .
17043,a further eight dwarfs,a eight further dwarfs,"Behind them stood a eight further dwarfs , all pointing rather large pikes at him , and behind that was an additional twenty dwarfen archers , all of whom were aiming crossbows at him ."
17044,a further thirty minutes,a thirty further minutes,It then took them a thirty further minutes to get the palace guards to open the gates .
17045,a spare ten minutes,a ten spare minutes,"We were going through some battle commands when at the end of the session he said he had a ten spare minutes , and if it was okay with me , he 'd like to tidy my room . """
17046,a mere two votes,a two mere votes,It included being the son of an artisan and parents that denied Christ and the affect on the conference was tangible and the vote in my favour was by a majority of a two mere votes .
17047,a good twenty feet,a twenty good feet,her mother shouted from a twenty good feet away .
17048,a good fifty pounds,a fifty good pounds,"The man outweighed her by a fifty good pounds , and he had a gun ."
17049,a good thirty feet,a thirty good feet,"Carter tilted his head to the side , studying the lovely stranger standing a thirty good feet in front of him ."
17050,a mere two hours,a two mere hours,"The last few touches seemed to flow through Thomas 's fingers , in a two mere hours the machine was finished ."
