idx,prefixes,aann,default_ann
18156,And Mr. Coleman has,a good eight inches,eight good inches
18157,Lord Quentin had successfully waded through,an entire seven courses,seven entire courses
18158,Cavanaugh thought he 'd had,a great straight ten days,ten great straight days
18159,Brad would be gone,a long two weeks,two long weeks
18160,"And I just feel like giving them a big hug and , "" Here 's",an extra twenty bucks,twenty extra bucks
18162,Just be sure you have plenty of time on your hands before jumping in – this book is,a whopping 449 pages,449 whopping pages
18163,It had been,a further ten years,ten further years
18164,"Her ' next time ' had been with Kris ,",a good five years,five good years
18165,After retrieving the car —,a good three miles,three good miles
18168,Ridge was,an impressive six feet,six impressive feet
18170,He choked on his own words and could n't find the nerve to speak for,a full thirty seconds,thirty full seconds
18172,I had,a full five days,five full days
18174,Out of the corner of my eye the spear buzzes past my head falling,a full twenty feet,twenty full feet
18175,"The regulator 's boots echo , they 're over by Quincy Street ,",a full three blocks,three full blocks
18176,To your 380 points from your lineage score you 've scored,"an additional 1,090 points","1,090 additional points"
18177,Night falls and I 've dug,a full three inches,three full inches
18178,I have to wait,an agonizing twenty minutes,twenty agonizing minutes
18179,You shaved off,a whole forty seconds,forty whole seconds
18180,"They powered through the wall and , for",a long three seconds,three long seconds
18181,She could go,a whole two days,two whole days
18182,"Between Gemma 's apple nibbling and the sidelong glances from everyone at the table , it was",a painful two minutes,two painful minutes
18184,It took her,a good ten minutes,ten good minutes
18186,The address he was looking for ended up being,a further seven miles,seven further miles
18187,"Oh , I got ta go , but you guys take",an extra ten minutes,ten extra minutes
18189,"The two girls started talking as they slowly strolled the aisles , gossiping as if they had n't seen each other for months or even years instead of",a mere four days,four mere days
18190,"She got up from the sofa , took a couple of steps to her right and then forward -- moving further and further away from Jonathan with every step -- and then opened the jewelry box again , this time gazing at the ring for",an agonizingly long five or six seconds,five or six agonizingly long seconds
18191,And at 6:15 - -she allowed,an extra five minutes,five extra minutes
18192,"The _ Post - Gazette _ featured an interesting article about famed baseball manager Connie Mack , who was then 79 years old and who would continue to manage the Philadelphia Athletics until 1950 ( for",a full 50 years,50 full years
18194,That would cost,an extra two minutes,two extra minutes
18195,"His face went into the water , the lobsters scuttling to the corners , and Rod held him there for",a good twenty seconds,twenty good seconds
18197,Mr Chin 's face locked into a humourless expression for,a long five seconds,five long seconds
18198,"He was a few years younger , but",a full two heads,two full heads
18200,It was,a full four decades,four full decades
18201,One of the rescuers stayed with her in the hospital for,an additional two hours,two additional hours
18203,She had,an extra three blocks,three extra blocks
18204,"After a sumptuous late luncheon with Miss Bull , including",a full two bottles,two full bottles
18210,"What I knew for sure was that I was n't hurting someone who was not only a healer by trade , but older than me by",a good two decades,two good decades
18211,"Danny looked at Amanita , a faint smile growing in his soul and Amanita returned",a swift two eyes,two swift eyes
18212,The essay had grown to,a lengthy and unmanageable thirteen pages,thirteen lengthy and unmanageable pages
18213,It 's been,a busy two years,two busy years
18214,Cornell University 's rigorous program awarded a Bachelor of Veterinary Science degree after four years ( of nine months each ) of study and a Doctor of Veterinary Medicine degree after,an additional two years,two additional years
18215,"' If you 're a fundamentalist , a "" day "" was",an earthly 24 hours,24 earthly hours
18216,They 'd waited,an additional ten hours,ten additional hours
18217,She had been grounded for,a mere two days,two mere days
18218,Now it slid down to 22 — they'd been spoiled with,a cosy twenty degrees,twenty cosy degrees
18221,Arnold was,a gangly nineteen years,nineteen gangly years
18223,""" So we pop in for",a refreshing fifteen minutes,fifteen refreshing minutes
18224,The bow of the sled protruded,an exact 22.3 centimetres,22.3 exact centimetres
18225,"She had been coloring it since James was born , otherwise she was unchanged , only",an extra twenty pounds,twenty extra pounds
18228,"She 's a big girl , she 's",a whole four years,four whole years
18229,It has a low roof and is wide enough to shelter,a mere four to five members,four to five mere members
18231,The two of them turned down the next road and walked for,a further forty minutes,forty further minutes
18233,I was able to get each crew member,an extra 100 credits,100 extra credits
18234,We are,a good six to eight hours,six to eight good hours
18235,I do n't think I have ever had such,a crazy two weeks,two crazy weeks
18236,Finally after,a good twenty minutes,twenty good minutes
18239,"Not from Gino 's , which is",a good three miles,three good miles
18240,I lay there for,a good two or three minutes,two or three good minutes
18241,"The title "" Free Ride Angie "" rattled around in my head for",a good six years,six good years
18242,It was,a full five seconds,five full seconds
18244,Standing at,a towering six feet,six towering feet
18245,"She had been waiting , albeit comfortably ,",a whole forty minutes,forty whole minutes
18247,The aircraft remained on the ground for,an additional approximate 350 feet,350 additional approximate feet
18248,The portion of Rei 's skull that was missing was,a full two inches,two full inches
18250,I have,a good six years,six good years
18252,That I was found among the burnt wreckage -- a convicted arsonist -- was enough circumstantial evidence for them to press multiple charges : I got,an additional seven years,seven additional years
18253,Frank gaped at me for,a full ten seconds,ten full seconds
18256,"Palm trees , silhouetted against the growing dawn swayed in a light breeze and The Pig 's external temperature sensors indicated",a balmy seventeen degrees,seventeen balmy degrees
18268,"However ,",a mere five days,five mere days
18269,David Charlton and John Blazer had to wait,a further five minutes,five further minutes
